Core-index	Vocab-KO-Index	Sent-KO-Index	New-Opt-Voc-Index	Opt-Voc-Index	Opt-Sen-Index	"jlpt "	Vocab-expression	Vocab-kana	Vocab-meaning	Vocab-pos	Sentence-expression	Sentence-kana	Sentence-meaning	Vocab-furigana	Sentence-furigana	Sentence-Cloze
1	0	123	1	7	56	JLPT4	それ	それ	that, that one	Pronoun	<b>それ</b>はとってもいい話だ。	<b>それ</b> は とっても いい はなし だ	That's a really nice story.	それ	<b>それ</b>はとってもいい 話[はなし]だ。	<b>（　）</b>はとってもいい 話[はなし]だ。
2	120	390	153	152	166	JLPT4	見る	みる	see, look at	Verb	私は絵を<b>見る</b>のが好きです。	わたし は え を <b>みる</b> の が すき です	I like looking at pictures.	見[み]る	私[わたし]は 絵[え]を<b> 見[み]る</b>のが 好[す]きです。	私[わたし]は 絵[え]を<b>（　）</b>のが 好[す]きです。
3	16	1005	28	27	343	JLPT2	円	えん	circle	Noun	そこに大きな<b>円</b>を描いて。	そこ に おおき な <b>えん</b> を かいて	Draw a big circle there.	円[えん]	そこに 大[おお]きな<b> 円[えん]</b>を 描[か]いて。	そこに 大[おお]きな<b>（　）</b>を 描[か]いて。
4	40	249	80	78	108	JLPT3	多い	おおい	lots of	Adjective	京都にはお寺が<b>多い</b>。	きょうと に は おてら が <b>おおい</b>	There are a lot of temples in Kyoto.	多[おお]い	京都[きょうと]にはお 寺[てら]が<b> 多[おお]い</b>。	京都[きょうと]にはお 寺[てら]が<b>（　）</b>。
5	79	421	118	117	187	JLPT2	家	うち	house, home	Noun	<b>家</b>に遊びに来てください。	<b>うち</b> に あそび に きて ください	Please come over to my house.	家[うち]	<b> 家[うち]</b>に 遊[あそ]びに 来[き]てください。	<b>（　）</b>に 遊[あそ]びに 来[き]てください。
6	0	0	8	15	5	JLPT4	これ	これ	this, this one	Noun	<b>これ</b>をください。	<b>これ</b>をください。	I'll have this please.	これ	<b>これ</b>をください。	<b>（　）</b>をください。
7	216	441	211	210	209	JLPT4	新しい	あたらしい	new	Adjective	彼の車は<b>新しい</b>。	かれ の くるま は <b>あたらしい</b>	His car is new.	新[あたら]しい	彼[かれ]の 車[くるま]は<b> 新[あたら]しい</b>。	彼[かれ]の 車[くるま]は<b>（　）</b>。
8	76	77	116	115	24	JLPT2	私	わたし	I	Noun	<b>私</b>が行きましょう。	<b>わたし</b> が いきましょう	Why don't I go.	私[わたし]	<b> 私[わたし]</b>が 行[い]きましょう。	<b>（　）</b>が 行[い]きましょう。
9	137	479	167	165	261	JLPT4	仕事	しごと	work, job	Noun	3月は<b>仕事</b>が忙しい。	さんがつ は <b>しごと</b> が いそがしい	I have a lot of work in March.	仕事[しごと]	3月[さんがつ]は<b> 仕事[しごと]</b>が 忙[いそが]しい。	3月[さんがつ]は<b>（　）</b>が 忙[いそが]しい。
10	379	380	274	273	156	JLPT3	始める	はじめる	begin, start	Verb	テストを<b>始めて</b>ください。	てすと を <b>はじめて</b> ください	Please start the test.	始[はじ]める	テストを<b> 始[はじ]めて</b>ください。	テストを<b>（　）</b>ください。
11	0	474	16	23	256	JLPT4	なる	なる	become	Verb	彼は医者に<b>なりました</b>。	かれ は いしゃ に <b>なりました</b>	He became a doctor.	なる	彼[かれ]は 医者[いしゃ]に<b>なりました</b>。	彼[かれ]は 医者[いしゃ]に<b>（　）</b>。
12	0	760	24	31	294	JLPT4	する	する	do, make	Verb	友達と一緒に宿題を<b>した</b>。	ともだち と いっしょ に しゅくだい を <b>した</b>	I did my homework with a friend.	する	友達[ともだち]と 一緒[いっしょ]に 宿題[しゅくだい]を<b>した</b>。	友達[ともだち]と 一緒[いっしょ]に 宿題[しゅくだい]を<b>（　）</b>。
